name,address,city,state,zip_code,country,region,email,website,phone,status
Collectors Inn,3107 Delaware Avenue,Kenmore,NY,14217,USA,Northeast,,collectorsinn.com,716-873-8633,Open
Seeley and Kanes Cards and Comics,2480 Elmwood Avenue,Kenmore,NY,14217,USA,Northeast,,,716-876-7168,Closed
House of Fantasy,1709 Pine Ave,Niagara Falls,NY,14301,USA,Northeast,hoffantasy@aol.com,facebook.com/pages/house-of-fantasy-comics-games/137589686313890,716-282-8838,Closed
Halleys Comics and Games,1144 Oliver Street,North Tonawanda,NY,14120,USA,Northeast,,,716-695-6138,Open
Collectors Choice,54 Main Street,Brockport,NY,14420,USA,Northeast,,,585-637-8556,Open
Chautauqua Comics,214 Fairmount Ave,Jamestown,NY,14701,USA,Northeast,,chautauquacomics.com,716-664-2287,Open
Books Galore,5546 Peach St,Erie,PA,16509,USA,Northeast,eriebooksgalore@yahoo.com,eriebooksgalore.com,814-864-1853,Open
Above and Beyond Comics,1126 West 26th Street,Erie,PA,16508,USA,Northeast,,,814-452-6642,Closed
Comic Books 101,101 N Franklin St,Titusville,PA,16354,USA,Northeast,,ndcomics.com,814-775-0020,Open
Captains Comics Toys and Games,6551 S Main St,Ashtabula,OH,44004,USA,Midwest,,facebook.com/Captains-Comics-Toys-And-105121631055389,440-661-0443,Open
Infield Card and Comic Store,188 Main Street,Greenville,PA,16125,USA,Northeast,,,724-347-3390,Open
BC Comics,603 West Back Street,Rimersburg,PA,16248,USA,Northeast,,,,Closed
Bells Comics Cards and Games,25 Pine Grove Square,Grove City,PA,16127,USA,Northeast,,facebook.com/groups/bellscomics,724-458-4081,Open
New Dimension Comics - Butler,101 Clearview Cir,Butler,PA,16001,USA,Northeast,,ndcomics.com,724-282-5283,Open
Comics and Friends,7850 Mentor Ave Suite 1054,Mentor,OH,44060,USA,Midwest,comics.and.friends.store@gmail.com,comicsandfriends.com,440-255-4242,Open
All American Cards and Comics,161 W Market St,Warren,OH,44481,USA,Midwest,,facebook.com/pages/all-american-cards-and-comics/162251137284,330-393-3137,Open
Blue Devils Sports Cards,414 Ohio Avenue,McDonald,OH,44437,USA,Midwest,,,330-530-0200,Open
Comic Heaven,4847 Robinhood Dr,Willoughby,OH,44094,USA,Midwest,comicheaven.oh@gmail.com,comicheaven.com,440-942-6960,Open
New Dimension Comics - Ellwood City,516 Lawrence Ave,Ellwood City,PA,16117,USA,Northeast,tim@ndcomics.com,ndcomics.com,724-758-2324,Open
All American Comics and Cards,1295 Boardman Canfield Rd,Youngstown,OH,44512,USA,Midwest,,,330-629-8754,Open
Gateway Comics,225 Fayette Street,Morgantown,WV,26505,USA,South,,,304-292-3045,Closed
Spectrum Comics,6744 Market St,Boardman,OH,44512,USA,Midwest,,,330-953-0960,Open
New Dimension Comics - Cranberry,20550 Route 19,Cranberry Township,PA,16066,USA,Northeast,,ndcomics.com,724-776-0433,Open
Cleveland Comics,5120 Mayfield Road,Lyndhurst,OH,44124,USA,Midwest,,cleveland-comics.com,440-442-1986,Open
Infinity Music and More,4564 William Penn Highway,Murrysville,PA,15668,USA,Northeast,,infinitycomicsandmore.com,724-325-4914,Open
Phantom of the Attic,3766 William Penn Hwy,Monroeville,PA,15146,USA,Northeast,phantom@city-net.com,phantom-attic.com,412-856-4403,Open
Joys Japanimation,209 Foster St,Greensburg,PA,15601,USA,Northeast,,joysjapanimation.com,,Open
Carol and Johns Comic Book Shop,17462 Lorain Ave,Cleveland,OH,44111,USA,Midwest,info@cnjcomics.com,cnjcomics.com,216-252-0606,Open
York Comics and Cards,7390 York Rd,Parma,OH,44130,USA,Midwest,,yorkcomics.com,440-842-4466,Open
South Side Comics,1819 East Carson Street,Pittsburgh,PA,15203,USA,Northeast,info@southsidecomicspgh.com,southsidecomicspgh.com,412-251-5779,Open
