name,address,city,state,zip_code,country,region,email,website,status
Parts Unknown The Comic Book Store,906 Spring Garden St,Greensboro,NC,27403,USA,Southeast,punk906@bellsouth.net,partsunknown.net,Open
The Comic Dimension,2823 Spring Garden St Ste E,Greensboro,NC,27403,USA,Southeast,TheComicDimension@gmail.com,thecomicdimension.com,Open
Stormcrow Comics,11234 N Main St,Archdale,NC,27263,USA,Southeast,,,Closed
GVE Comics,2900 North Main Street #106,High Point,NC,27265,USA,Southeast,,,Unknown
Cumberland Coin Exchange,5701 Yadkin Rd Ste 190,Fayetteville,NC,28303,USA,Southeast,,,Open
Dragons Lair Comic Book Store,6243 Yadkin Rd Suite #104,Fayetteville,NC,28303,USA,Southeast,dragonslairnc@gmail.com,dragonslairnc.com,Open
Vision of Comics and Cards,8200 Cliffdale Rd Suite #102,Fayetteville,NC,28314,USA,Southeast,,,Closed
The Comic Monstore,813 Jake Alexander Blvd S,Salisbury,NC,28147,USA,Southeast,comicmonstore@bellsouth.net,comicmonstore.com,Open
R & B Games Cards Comics,1525 Cinema Dr Ste E,Statesville,NC,28625,USA,Southeast,,randbgames.com,Open
Memory Lane Comics,201 Princess St,Wilmington,NC,28401,USA,Southeast,memorylanewilm@gmail.com,mlcshop.com,Open
Memory Lane Comics Part II,222 Princess St,Wilmington,NC,28401,USA,Southeast,memorylanewilm@gmail.com,mlcshop.com,Open
Parker Banner Kent & Wayne,21500 Catawba Ave Suite A,Cornelius,NC,28031,USA,Southeast,pbkw@pbkwcomics.com,pbkwcomics.com,Open
2nd Time Around Comics,902 Conover Blvd E Ste B,Conover,NC,28613,USA,Southeast,2ndtimearoundcomics@gmail.com,2ndtimearoundcomics.com,Open
Spandex City Comics & More,2914-A Mt Holly-Huntersville Rd,Charlotte,NC,28216,USA,Southeast,service@spandexcity.com,spandexcity.com,Moved
Far Out Records and Retro,246 Union Sq NW Ste D,Hickory,NC,28601,USA,Southeast,,,Open
A Pennyworths Comics,11025 Monroe Rd Ste D,Matthews,NC,28105,USA,Southeast,apennyworthscomics@gmail.com,apennyworthscomics.com,Open
Mad Jacks Records & Comics,315 W John St,Matthews,NC,28105,USA,Southeast,jackmarble@gmail.com,madjacks.net,Open
Heroes Arent Hard To Find,1957 East 7th Street,Charlotte,NC,28204,USA,Southeast,,heroesonline.com,Open
Rebel Base Comics and Toys,701 S Sharon Amity Rd Ste C,Charlotte,NC,28211,USA,Southeast,,rebelbasecomics.com,Open
Time Tunnel Comics and Toys,265 2nd Ave SE,Hickory,NC,28602,USA,Southeast,Timetunnelcomics@gmail.com,timetunnelcomics.com,Moved
Mountain Empire Comics,31 6th St,Bristol,TN,37620,USA,Southeast,,mountainempirecomics.com,Open
Mavericks Baseball Cards & Comics,8522 Winton Rd,Cincinnati,OH,45231,USA,Midwest,,facebook.com/FinneytownMavericks,Open
YottaQuest,7607 Hamilton Ave,Cincinnati,OH,45231,USA,Midwest,matthewm@yottaquest.com,yottaquest.com,Moved
Up Up & Away!,4016 Harrison Ave,Cincinnati,OH,45211,USA,Midwest,kendall@upupandawaycomics.com,upupandawaycomics.com,Open
Comic Book World,7130 Turfway Road,Florence,KY,41042,USA,Southeast,comicbw@one.net,comicbookworld.com,Open
Comics 2 Games,8470 US HWY 42 Suite D,Florence,KY,41042,USA,Southeast,info@comics2games.com,comics2games.com,Open
Mountain Empire Comics,1805 N Roan St Unit G6,Johnson City,TN,37601,USA,Southeast,,mountainempirecomics.com,Open
Nerd HQ,2514 Wesley St Ste 102,Johnson City,TN,37601,USA,Southeast,,nerdhqjc.com,Open
Atomik Comiks,213 E Main St,Johnson City,TN,37604,USA,Southeast,,atomikcomiks.com,Unknown
G2K Games,3101 Browns Mill Rd Suite 16,Johnson City,TN,37604,USA,Southeast,,g2kgames.net,Open
