name,address,city,state,zip_code,country,region,email,website,phone,status
Lost Legion Games and Comics - The Keep,706 Thorn Street,Princeton,WV,24740,USA,Southeast,,theroguetrader.net,304-431-0021,Open
Beholders Eye,700 North Main Street,Blacksburg,VA,24060,USA,Southeast,,,540-552-6835,Closed
Fun -N- Games,801 University City Blvd Suite 1,Blacksburg,VA,24060,USA,Southeast,,fngblacksburg.com,540-552-2204,Moved
Mavericks Cards and Comics,2312 E Dorothy Lane,Kettering,OH,45420,USA,Midwest,jackmavericks@sbcglobal.net,jackmavericks.com,937-294-4900,Open
Fearless Reader Comics,1613 Huffman Ave,Dayton,OH,45403,USA,Midwest,fearlessreaders@gmail.com,,937-252-3036,Open
Bell Book and Comic,458 Patterson Rd,Dayton,OH,45419,USA,Midwest,bellbookcomiclists@gmail.com,bellbookandcomic.com,937-643-9006,Open
Heroes 4 Sale,328 N Dixie Drive,Vandalia,OH,45377,USA,Midwest,,,937-898-2794,Open
Schumers Cards and Comics,6342 B Far Hills Ave,Centerville,OH,45459,USA,Midwest,,facebook.com/pages/Schumers-Cards-Comics/187072901321781,937-433-5110,Open
Get Your Game On,709 Packard Street,Ann Arbor,MI,48104,USA,Midwest,,getyourgameonline.com,734-786-3746,Open
Labyrinth Comics and Games,324 S State Street,Ann Arbor,MI,48104,USA,Midwest,,,,Closed
Vault of Midnight,219 S Main St,Ann Arbor,MI,48104,USA,Midwest,annarbor@vaultofmidnight.com,vaultofmidnight.com,734-998-1413,Open
Another Fearless Readers,34 W Main St,New Lebanon,OH,45345,USA,Midwest,,,,Closed
Parkers Records and Comics,1222 Suite C State Route 28,Milford,OH,45150,USA,Midwest,info@parkersrc.com,parkersrc.com,513-575-3665,Open
Queen City Comic and Card Co,6600 Dixie Hwy Suite V,Fairfield,OH,45014,USA,Midwest,,queencitycomics.com,513-860-5805,Open
Queen City Comic and Card Co,6101 Montgomery Rd,Cincinnati,OH,45213,USA,Midwest,,queencitycomics.com,,Open
Local Heroes,1905 Colonial Avenue,Norfolk,VA,23517,USA,Southeast,greg@localheroescomics.com,localheroescomics.com,757-383-6810,Open
Trilogy Comics,5773 Princess Anne Rd,Virginia Beach,VA,23462,USA,Southeast,trilogy1@trilogycomics.net,trilogycomics.net,757-490-2205,Open
Atlantis Games and Comics,2862 Airline Blvd,Portsmouth,VA,23701,USA,Southeast,ac1@atlantis-comics.com,atlantis-comics.com,757-465-1617,Moved
Atlantis Games and Comics,9649 1st View St,Norfolk,VA,23503,USA,Southeast,,atlantis-comics.com,757-502-8954,Moved
Comic Kings,4404 Holland Rd,Virginia Beach,VA,23452,USA,Southeast,,,,Moved
Earth 383 Comics and Games,918 Halstead Blvd Suite A,Elizabeth City,NC,27909,USA,Southeast,earth383comicsandgames@hotmail.com,earth383.com,252-331-7686,Moved
B and D Sports Cards and Comics,1326 Piney Forest Road,Danville,VA,24540,USA,Southeast,,,434-836-9133,Open
The Hobby Shop,1501 Ward Blvd Suite 245,Wilson,NC,27893,USA,Southeast,,,,Closed
Ultimate Comics,3742 Durham-Chapel Hill Blvd,Durham,NC,27707,USA,Southeast,,ultimatecomics.com,919-806-8282,Moved
Capital Comics,5212 Hollyridge Dr,Raleigh,NC,27612,USA,Southeast,,,919-781-9500,Open
ScifiGenre (now Atomic Empire),3400 Westgate Dr,Durham,NC,27707,USA,Southeast,,atomicempire.com,919-490-7900,Moved
Capital Comics,3027 Hillsborough St,Raleigh,NC,27607,USA,Southeast,,,919-832-4600,Closed
Chapel Hill Comics,316 W Franklin St,Chapel Hill,NC,27516,USA,Southeast,,chapelhillcomics.com,919-967-4439,Closed
Heroes Are Here,112 S Berkeley Blvd,Goldsboro,NC,27534,USA,Southeast,,heroesrhere.com,919-751-3131,Open
Acme Comics,2150 Lawndale Dr,Greensboro,NC,27408,USA,Southeast,acmelwn@bellsouth.net,acmecomics.com,336-574-2263,Open
