name,address,city,state,zip_code,country,region,email,website,status,phone
Comic Masters,1978 Whitehall Mall,Whitehall,PA,18052,USA,Northeast,,,Not Verified,
Humungo Comics,351 W Schuylkill Rd,Pottstown,PA,19465,USA,Northeast,,,Closed,
Level Up Entertainment,4403 E. Black Horse Pike,Mays Landing,NJ,08330,USA,Northeast,,,Closed,
The Comic Book Shop,1855 Marsh Rd,Wilmington,DE,19810,USA,Unknown,comicshop@thecomicbookshop.com,thecomicbookshop.com,Moved,
Fat Cat Comics and Games,115 W. Lancaster Ave,Downingtown,PA,19335,USA,Northeast,,,Unknown,
Vault Comics and Games,211 W Main St,Kutztown,PA,19530,USA,Northeast,,thevaultkutztown.com,Closed,
Jesters Playhouse,2408 New Road,Northfield,NJ,08225,USA,Northeast,,,Closed,
Comicmania,4381 Kirkwood Hwy,Wilmington,DE,19804,USA,Unknown,,,Moved,(302) 995-1971
Beachcomber Collectibles,6692 Black Horse Pike,Egg Harbor Township,NJ,08234,USA,Northeast,bccollectibles@hotmail.com,beachcombercoinsinc.com,Open,(609) 645-1031
1up Collectibles,514 Penn Avenue,West Reading,PA,19611,USA,Northeast,1upcollectibles@gmail.com,,Closed,
Golden Eagle Comics,3050 N 5th Street Hwy # C11,Reading,PA,19605,USA,Northeast,geaglecomics@aol.com,goldeneaglecomics.com,Open,(610) 921-3160
Captain Blue Hen Comics,280 E. Main St. #101,Newark,DE,19711,USA,Unknown,mail@captainbluehen.com,captainbluehen.com,Open,(302) 737-3434
The Comic Den,4312 Division Highway,Blue Ball,PA,17509,USA,Northeast,,,Unknown,
Beavs Comics,124 W. Main St.,Middletown,DE,19709,USA,Unknown,,,Unknown,(302) 449-5581
Red Rose Comics,356 W. Main St.,Leola,PA,17540,USA,Northeast,,,Closed,(717) 517-0566
Cecil County Comics,2748 Turkey Point Rd.,North East,MD,21901,USA,Unknown,,,Unknown,
Golden Unicorn Comics,4 N Kennedy Dr,McAdoo,PA,18237,USA,Northeast,,goldenunicorncomics1.placeweb.site,Moved,(570) 455-4645
Captain Blue Hen Comics,1800 Lincoln Hwy E,Lancaster,PA,17602,USA,Northeast,,,Closed,(717) 397-8011
The Comic Store,28 McGovern Ave,Lancaster,PA,17602,USA,Northeast,comicstore@juno.com,comicstorepa.com,Open,(717) 397-8737
Wednesdays Outlet,506 Luzerne Street,West Pittston,PA,18643,USA,Northeast,,,Unknown,
The Comic Store,22 McGovern Ave,Lancaster,PA,17603,USA,Northeast,,,Unknown,
Comics and Paperbacks Plus,201 E. Main St.,Palmyra,PA,17078,USA,Northeast,ralph@comicsandpaperbacksplus.com,comicsandpaperbacksplus.com,Open,(717) 838-4854
Superior Comics,1636 S. Governors Ave.,Dover,DE,19904,USA,Unknown,,,Closed,(302) 735-4640
Xpanding Universe,1010 F Beards Hill Road,Aberdeen,MD,21001,USA,Unknown,xu@xpandinguniverse.com,xpandinguniverse.com,Closed,(410) 273-2025
Comic Store West,2111 Industrial Hwy,York,PA,17402,USA,Northeast,,,Moved,(717) 845-9198
Comix Connection,2150 White Street Suite 3,York,PA,17404,USA,Northeast,yorkstaff@comixconnection.com,comixconnection.tumblr.com,Moved,(717) 767-4871
Legendary Comics and Tea Room,203 w. main st.,Bloomsburg,PA,17815,USA,Northeast,legendarycomicsandtearoom@gmail.com,legendarycomicsandtearoom.com,Closed,(570) 772-6587
KCs Comics,2807 Bel Air Rd,Fallston,MD,21047,USA,Unknown,,,Open,(410) 877-3152
Comix Universe,130 Eisenhower Dr. #3,Hanover,PA,17331,USA,Northeast,comixuniverse@yahoo.com,comixuniverse.weebly.com,Open,(717) 637-1637
The York Emporium,343 W. Market St.,York,PA,17401,USA,Northeast,,theyorkemporium.com,Open,(717) 846-2866
