name,address,city,state,zip_code,country,region,email,website,phone,status
South Side Comics,1819 E Carson St,Pittsburgh,PA,15203,USA,Northeast,info@southsidecomicspgh.com,southsidecomicspgh.com,(412) 251-5779,Open
Phantom of the Attic,411 S Craig St 2nd floor,Pittsburgh,PA,15213,USA,Northeast,,pota-oakland.com,(412) 621-1210,Open
CCGs Cards Comics and Games,4020 Liberty Ave,Pittsburgh,PA,15224,USA,Northeast,john@ccgscards.com,ccgscards.com,,Closed
CCGs Cards Comics and Games,4020 Liberty Ave,Pittsburgh,PA,15224,USA,Northeast,john@ccgscards.com,ccgscards.com,,Closed
Duncan Comics Books & Access,398 Perry Hwy,Pittsburgh,PA,15229,USA,Northeast,duncanbooks@aol.com,duncancomics.com,(412) 635-0886,Moved
Eides Entertainment,1121 Penn Ave,Pittsburgh,PA,15222,USA,Northeast,eides@eides.com,eides.com,(412) 261-0900,Open
New Dimension Comics,630 Waterfront Dr,Homestead,PA,15120,USA,Northeast,,ndcomics.com,,Moved
Taurus Comics,412 Huron Ave,Port Huron,MI,48060,USA,Midwest,,tauruscomics.com,,Open
Phantom of the Attic,2351 Noblestown Rd,Pittsburgh,PA,15205,USA,Northeast,,pota-comics.com,(412) 921-6229,Moved
Comic Book Connection,562 Rodi Rd,Pittsburgh,PA,15235,USA,Northeast,,,,Unknown
Geekadrome,534 Brookline Blvd,Pittsburgh,PA,15226,USA,Northeast,,geekadrome.com,(412) 344-2494,Open
Big Bang Comics & Collectibles,437 Broad St,Sewickley,PA,15143,USA,Northeast,bigbangcomicsandcollectibles@gmail.com,bigbangcomicsandcollectibles.com,(412) 259-8742,Open
Copacetic Comics Company,3138 Dobson St Fl 3,Pittsburgh,PA,15219,USA,Northeast,,copaceticcomics.com,(412) 251-5451,Moved
Comics Are Go,5188 Detroit Rd,Sheffield Village,OH,44054,USA,Midwest,,,(440) 835-8055,Moved
Kenmore Komics & Games,1020 Kenmore Blvd,Akron,OH,44314,USA,Midwest,john@kenmore-komics.com,kenmore-komics.com,(330) 745-5530,Open
Hazels Heroes,1664 N Main St #12,North Canton,OH,44720,USA,Midwest,,hazelsheroescomics.com,(330) 244-9988,Open
Magic City Comics and Collectibles,556 W Tuscarawas Ave,Barberton,OH,44203,USA,Midwest,,stuffgenieonline.com,(330) 575-5579,Open
Heroic Adventures,126 Gnau Ave SW Unit A,Massillon,OH,44646,USA,Midwest,heroicadventurescomics@yahoo.com,heroicadventurescomics.com,(330) 837-3301,Closed
Land of Cran Comics,4631 Whipple Ave NW,Canton,OH,44718,USA,Midwest,,,(330) 492-9606,Closed
Comics Cards & Collectibles,724 Cleveland Ave SW,Canton,OH,44702,USA,Midwest,comics5@yahoo.com,comicscardscollectables.com,(330) 456-8907,Open
Universal Comics,6986 Whipple Ave NW,North Canton,OH,44720,USA,Midwest,,universalcomics.net,(330) 453-5985,Moved
Keiths Comics,394 Broad St,Elyria,OH,44035,USA,Midwest,,keithscomics.com,(440) 323-2000,Open
The Toys Time Forgot,137 Cherry St E,Canal Fulton,OH,44614,USA,Midwest,toys@thetoystimeforgot.com,thetoystimeforgot.com,(330) 854-1700,Open
Bills Books & More,2215 6th St SW,Canton,OH,44706,USA,Midwest,info@billsbooksandmore.com,billsbooksandmore.com,(330) 453-3996,Open
Pittsburgh Comics,113 E McMurray Rd,Canonsburg,PA,15317,USA,Northeast,,pittsburghcomics.com,,Open
Mikes Comics,51075 Washington St,New Baltimore,MI,48047,USA,Midwest,mikescomics@sbcglobal.net,mikescomicsandgames.com,(586) 716-9511,Open
The Gaming Dungeon,63 N Main St,Washington,PA,15301,USA,Northeast,,gaming-dungeon.edan.io,(724) 222-7270,Open
Liberty Comics,27639 Gratiot Ave,Roseville,MI,48066,USA,Midwest,libertycomics@hotmail.com,libertycomicsonline.com,(586) 779-4130,Open
2nd & Charles,45290 Utica Park Blvd,Utica,MI,48315,USA,Midwest,,2ndandcharles.com,(586) 254-1370,Open
Funky Town Toys - Comics & Collectibles,45249 Van Dyke Ave,Utica,MI,48317,USA,Midwest,,,(586) 843-3684,Moved
