name,address,city,state,zip_code,country,region,email,website,phone,status
The Fallout Shelter,320 Raritan Ave,Highland Park,NJ,08904,USA,Northeast,,,,Closed
MC Comics,22 Old Matawan Rd Ste D,Old Bridge,NJ,08857,USA,Northeast,mail@mccomics.com,,(732) 238-5969,Closed
Comic & Hobby Connection,3 W Olive St Unit 4,Scranton,PA,18508,USA,Northeast,,,(570) 601-1978,Open
Comic Fortress,59 W Main St,Somerville,NJ,08876,USA,Northeast,,https://www.comicfortress.com,(908) 704-8910,Moved
Unknown Comic & Games,721 Mulberry St,Scranton,PA,18510,USA,Northeast,,,,Unknown
Comics on the Green,307 N Washington Ave,Scranton,PA,18503,USA,Northeast,cotgreen@aol.com,http://www.comicsonthegreen.com,(570) 342-5960,Open
The Record Store,6299 US Highway 9,Howell,NJ,07731,USA,Northeast,therecordstore@gmail.com,http://www.therecordstorenj.com,(732) 905-9056,Closed
The Encounter,580 Main St,Stroudsburg,PA,18360,USA,Northeast,,,,Closed
Zapp! Comics,700 Tennent Rd Ste 5,Manalapan,NJ,07726,USA,Northeast,zappcomics@aol.com,http://www.zappcomics.com,(732) 617-1333,Open
Zapp! Comics,700 Tennent Road,Manalapan,NJ,07726,USA,Northeast,zappcomics@aol.com,http://www.zappcomics.com,(732) 617-1333,Open
Clockwork Comics & Games,212 South Main St,Newark,NY,14513,USA,Northeast,,,(315) 690-1087,Open
Comics Etc,1115 East Main St Door 8 Hungerford Bldg,Rochester,NY,14609,USA,Northeast,,http://comicsetc.biz,(585) 473-7150,Moved
Comic Book Heaven,938 St Paul St,Rochester,NY,14605,USA,Northeast,,http://comic-book-heaven.edan.io,(585) 654-7542,Open
All Heroes Comics,4410 Lake Ave,Rochester,NY,14612,USA,Northeast,,http://www.allheroescomics.com,(585) 865-9113,Open
Empire Comics,1176 Mount Hope Avenue,Rochester,NY,14620,USA,Northeast,,,,Closed
Empire Comics,375 Stone Road,Rochester,NY,14616,USA,Northeast,,,,Closed
Fatman Comics and Games,218 S Main St,Athens,PA,18810,USA,Northeast,,,,Unknown
Heroes Your Mom Threw Out,128 W 14th St,Elmira Heights,NY,14903,USA,Northeast,,http://momthrewout.com,(607) 737-1347,Open
Comic Relief,4120 Quakerbridge Road,Lawrence Township,NJ,08648,USA,Northeast,,https://www.facebook.com/CRLawrenceville,(609) 452-7548,Open
Wade's Comic Madness,8750 New Falls Rd,Levittown,PA,19054,USA,Northeast,,https://stores.comichub.com/wades_comic_madness,(215) 946-9381,Open
Steve's Comic Relief,1337 E Lincoln Hwy,Levittown,PA,19057,USA,Northeast,,http://comicrelief.com,(215) 945-7954,Moved
Comic Collection & Records Too,83 Bustleton Pike,Feasterville-Trevose,PA,19053,USA,Northeast,,http://www.TheComicCollection.net,(215) 357-3332,Moved
Bagged and Boarded,2337 Street Rd,Bensalem,PA,19020,USA,Northeast,,,(215) 638-7020,Closed
Cyborg One,44 E State St Rear,Doylestown,PA,18901,USA,Northeast,comments@cyborg1.com,https://cyborgone.com,(215) 348-1451,Open
Brave New Worlds,433 W Moreland Rd,Willow Grove,PA,19090,USA,Northeast,,http://www.bravenewworldscomics.com,(215) 657-8838,Moved
Abington Game and Hobby Center,1562 Easton Rd,Abington,PA,19001,USA,Northeast,,,(215) 657-9550,Closed
Comics and More,804 Bethlehem Pike - King of Prussia Mall,North Wales,PA,19454,USA,Northeast,,,(267) 263-1012,Unknown
Comic Archive,319 West Main St Suite 8,Lansdale,PA,19446,USA,Northeast,comicarchive@yahoo.com,http://www.comicarchive.biz,(215) 853-0740,Unknown
BlueBell Comics & Collectibles,1715 Forest Creek Drive,Blue Bell,PA,19422,USA,Northeast,,,,Unknown
Fat Jack's Comicrypt,2006 Sansom St,Philadelphia,PA,19103,USA,Northeast,,,(215) 963-0788,Closed
