name,address,city,state,zip_code,country,region,email,website,phone,status
Bailey's Comics of Lindenhurst,282 North Wellwood Ave,Lindenhurst,NY,11757,USA,Northeast,baileyscomics@gmail.com,www.baileyscomics.com,(631) 225-5085,Open
Amok Time,108 New South Rd Suite C,Hicksville,NY,11801,USA,Northeast,amoktime@aol.com,www.amoktime.com,(516) 520-0975,Open
Grasshoppers Comics,76 Hillside Ave,Williston Park,NY,11596,USA,Northeast,info@grasshopperscomics.com,www.grasshopperscomics.com,(516) 741-5724,Open
Phoenix Comic & Collectibles,107-5 Stewart Ave.,Hicksville,NY,11801,USA,Northeast,ph.rebirth@gmail.com,phoenixcomics.wordpress.com,(516) 939-9129,Open
Magnum Comics & Cards,3723 Riverdale Ave,Bronx,NY,10463,USA,Northeast,,,Closed Dec 2017,Closed
The Comic Depot Inc,2847 Jerusalem Ave,Wantagh,NY,11793,USA,Northeast,comdepot@optonline.net,www.thecomicbookdepot.com,(516) 221-9337,Open
Best Comics & Collectibles,1300 Jericho Turnpike,New Hyde Park,NY,11040,USA,Northeast,tommybest@aol.com,www.bestcomics.com,(516) 328-1900,Open
The Joker's Child,12-23 River Rd,Fair Lawn,NJ,07410,USA,Northeast,info@jokerschild.com,jokerschild.com,(201) 794-6830,Open
Gotham City Comics Inc,796 Lexington Ave,New York,NY,10021,USA,Northeast,,,(212) 980-0009,Closed
McRae's Li'l Comic Shop,505 Pennsylvania Ave.,Matamoras,PA,18336,USA,Northeast,,,(570) 491-4191,Unknown
Mark's Comics and Collectibles,291 N. Central Ave.,Valley Stream,NY,11580,USA,Northeast,serra3@optonline.net,,Closed May 2015,Closed
Silver Age Comics,22-55 31st Street Ste 208,Astoria,NY,11105,USA,Northeast,gus@silveragecomics.com,www.silveragecomics.com,(718) 721-9691,Open
Cosmic Comics & Books Inc,246 Merrick Rd,Oceanside,NY,11572,USA,Northeast,,,(516) 763-1133,Unknown
Royal Collectibles,96-01 Metropolitan Avenue,Forest Hills,NY,11375,USA,Northeast,royalcomicsny@gmail.com,royalcomicsnyc.com,(718) 793-0542,Open
Zapp! Comics,574 Valley Road,Wayne,NJ,07470,USA,Northeast,zappcomics@aol.com,www.zappcomics.com,(973) 628-4500,Open
Galaxy Comics & Cards,4503 47th Ave,Woodside,NY,11377,USA,Northeast,,,(718) 361-1726,Closed
Comic Den,8062 Lefferts Blvd,Jamaica,NY,11415,USA,Northeast,,comicden.com,(718) 805-3789,Open
Time Warp Inc.,1164 Broadway,Hewlett,NY,11557,USA,Northeast,jefftimewarp@aol.com,,(516) 295-1431,Unknown
Comic Book Heaven,4814 Skillman Ave,Sunnyside,NY,11104,USA,Northeast,,,(718) 899-4175,Closed
A & S Comics & Cards,7512 Bergenline Ave,North Bergen,NJ,07047,USA,Northeast,ascomics@aol.com,www.ascomics.com,(201) 869-0280,Moved
Midtown Comics - Grand Central,459 Lexington Ave.,New York,NY,10017,USA,Northeast,info@midtowncomics.com,www.midtowncomics.com,(212) 302-8192,Open
Midtown Comics,200 W 40th St,New York,NY,10018,USA,Northeast,info@midtowncomics.com,www.midtowncomics.com,(212) 302-8192,Open
New Moon Comics,463 Main St.,Little Falls,NJ,07424,USA,Northeast,sales@newmooncomics.com,www.newmooncomics.com,(973) 812-6642,Open
Jim Hanley's Universe,4 W 33rd St,New York,NY,10001,USA,Northeast,,,Closed Sept 2023,Closed
Cosmic Comics,10 E 23rd St,New York,NY,10010,USA,Northeast,,,(212) 460-5322,Closed
Mysterious Island,418 6th Ave,New York,NY,10011,USA,Northeast,,facebook.com/mysterioustimemachine,(212) 691-0380,Unknown
Silver Age Comics,47 W. 8th Street,New York,NY,10011,USA,Northeast,,,Different store - status unknown,Unknown
Forbidden Planet,832 Broadway,New York,NY,10003,USA,Northeast,,www.fpnyc.com,(212) 473-1576,Open
Metropolis Collectibles,36 W 37th St,New York,NY,10018,USA,Northeast,,www.metropoliscomics.com,(212) 260-4147,Moved
St. Mark's Comics,11 St. Mark's Place,New York,NY,10003,USA,Northeast,,stmarkscomics.com,Closed Feb 2019 - moved to Brooklyn,Closed
