name,address,city,state,zip_code,country,region,email,website,phone,status
Legends Comics,702 S Irby St,Florence,SC,29501,USA,Southeast,,legendscomicssc.com,(843) 662-5136,Open
Apocalypse Comics,710 Highway 17 South Ste H,North Myrtle Beach,SC,29582,USA,Southeast,apocalypsecomics@gmail.com,facebook.com/pages/apocalypse-comics/108653822517621,(843) 272-8500,Closed
Corsair Comics,807 Main Street,Myrtle Beach,SC,29577,USA,Southeast,steve@thepalmettogroup.com,facebook.com/corsair.comics,(843) 839-4820,Closed
Grand Slam,952 Mount Gallant Rd,Rock Hill,SC,29732,USA,Southeast,,grandslamcardsrockhill.square.site,(803) 327-4414,Open
Daves Comics and Cards,206 Main Street,Fort Mill,SC,29715,USA,Southeast,,davescomicsonline.com,(803) 547-3995,Closed
Timmy Macs,902 W Union St,Morganton,NC,28655,USA,Southeast,,timmymacs.com,(828) 391-8162,Open
Heroes and Dragons,510 Bush River Rd,Columbia,SC,29210,USA,Southeast,,heroesanddragons.com,(803) 731-4376,Open
Comic Nirvana,3935 Sunset Blvd Ste A2,West Columbia,SC,29169,USA,Southeast,,comicnirvana.com,(803) 356-0605,Closed
Scratch N Spin,513 12th St,West Columbia,SC,29169,USA,Southeast,scratchnspin@aol.com,facebook.com/scratchnspinofficial,(803) 794-8888,Open
The Tangled Web,418 W Blackstock Rd,Spartanburg,SC,29301,USA,Southeast,info@twebcomics.com,twebcomics.com,(864) 574-1713,Open
Silver City Comics,538 Knox Abbott Dr,Cayce,SC,29033,USA,Southeast,,,(803) 791-4021,Closed
Green Dragon,7671 Northwoods Blvd Unit 5T,North Charleston,SC,29406,USA,Southeast,a.carter@thegreendragon.net,thegreendragononline.com,(843) 797-2052,Open
Soundwave Music and Movies,1448 Boone Hill Rd,Summerville,SC,29483,USA,Southeast,soundwaverecords@aol.com,soundwavecomics.com,(843) 821-8810,Open
Borderlands Comics and Games,1434 Laurens Rd,Greenville,SC,29607,USA,Southeast,borderlandscomics@gmail.com,borderlands.us,(864) 235-3488,Open
Richards Comics and Collectables,1214 Laurens Rd Ste A,Greenville,SC,29607,USA,Southeast,,richards-collectables.com,(864) 271-1104,Open
Captains Comics and Toys,1209 Sam Rittenberg Blvd Ste D,Charleston,SC,29407,USA,Southeast,,captainscomics.com,(843) 766-6611,Open
Augusta Book Exchange 2,592 Bobby Jones Expy Ste 15,Augusta,GA,30907,USA,Southeast,,comics-n-games.com,(706) 860-6553,Closed
Augusta Book Exchange,1650 Gordon Hwy,Augusta,GA,30906,USA,Southeast,,comics-n-games.com,(706) 860-6553,Open
Rock Shop Music and Comics,3333 Buford Dr Ste 2047B,Buford,GA,30519,USA,Southeast,,rockshopmusicandcomics.com,(678) 482-0091,Closed
Galactic Quest,116 E Crogan St,Lawrenceville,GA,30046,USA,Southeast,,galacticquest.com,(770) 339-3001,Open
Stairway Toys,3555 Mercer Univ Dr Ste 102-1,Macon,GA,31204,USA,Southeast,,(478) 784-6403,,Unknown
Joes Garage Comics and More,2855 Lawrenceville-Suwanee Rd Ste 760,Suwanee,GA,30024,USA,Southeast,,,,Unknown
Galactic Quest,4264 Sudderth Rd Suite C,Buford,GA,30518,USA,Southeast,,galacticquest.com,(770) 339-3001,Open
Titan Games and Comics Duluth,2103 Pleasant Hill Rd,Duluth,GA,30096,USA,Southeast,titanduluth@gmail.com,titangamesandcomics.com,(770) 497-0202,Closed
FCB Comics and Games,9850 Nesbit Ferry Rd Ste 18,Alpharetta,GA,30022,USA,Southeast,,fcbcomicsandgames.com,(770) 993-6955,Closed
Book End,6041 N Henry Blvd Ste C,Stockbridge,GA,30281,USA,Southeast,,,(770) 474-1032,Open
Media Mania,4000 N Henry Blvd Unit B,Stockbridge,GA,30281,USA,Southeast,,mediamaniaonline.com,(678) 961-9980,Open
Book Nook,3073 North Druid Hills Rd,Decatur,GA,30033,USA,Southeast,booknookatlanta@hotmail.com,booknookdecatur.com,(470) 986-1588,Open
Criminal Records,1154 Euclid Ave NE A,Atlanta,GA,30307,USA,Southeast,team@criminalatl.com,criminalatl.com,(404) 215-9511,Open
Escape Reality Comics,464 Forks Of The River Pkwy,Sevierville,TN,37862,USA,Southeast,,,(865) 908-8346,Open
