name,address,city,state,zip_code,country,region,email,website,status
Comics MD,15901 INDIAN HEAD HWY,Accokeek,MD,20607,USA,Unknown,,,Unknown
Atomic Comics,86 W Washington St,Hagerstown,MD,21740,USA,Unknown,,,Open
Big Planet Comics,426 Maple Ave. E.,Vienna,VA,22180,USA,Southeast,vienna@bigplanetcomics.com,bigplanetcomics.com,Open
Game On Comics,310 Dominion Rd NE,Vienna,VA,22180,USA,Southeast,,gameoncomics.com,Closed
The Amazing Comic Shop,10647 Braddock Rd.,Fairfax,VA,22032,USA,Southeast,amazingcomicshop@gmail.com,amazingcomicshop.wordpress.com,Open
The Comics Swap  Inc.,110 S. Fraser St.,State College,PA,16801,USA,Northeast,info@comicswap.biz,comicswap.net,Open
Big Larry's Comic Book Cafe,22745 Washington Street,Leonardtown,MD,20650,USA,Unknown,biglarryscomics@aol.com,biglarryscomicscafe.com,Closed
Laughing Orge Comics,19340 Promenade Drive,Lansdowne,VA,20176,USA,Southeast,,laughingogrecomics.com,Closed
Phoenix Comics & Toys,19340 Promenade Dr.,Lansdowne,VA,20176,USA,Southeast,,laughingogrecomics.com,Closed
Flashbackcomics,3062 PS Business Center Dr,woodbridge,VA,22192,USA,Southeast,,flashbackcomicsandgames.com,Open
Painted Visions Comics,3065 Golansky Blvd,Woodbridge,VA,22192,USA,Southeast,adam.paintedvisions@gmail.com,paintedvisionscomics.com,Open
Comics & Gaming,7556 Gardner Park Dr,Gainesville,VA,20155,USA,Southeast,cgoinc@hotmail.com,comics-gaming.com,Open
Big Monkey Comics,10667 Spotsylvania Ave.,Fredericksburg,VA,22408,USA,Southeast,,,Closed
Codex Comics and Collectibles,125 W High St,Ebensburg,PA,15931,USA,Northeast,codexcomics@yahoo.com,codexcomicshop.com,Open
Comics World,1002 Graham Ave,Windber,PA,15963,USA,Northeast,,pittsburghcomicon.com,Open
Blue Marble Comics and Games,8005 B Creighton Parkway,Mechanicsville,VA,23111,USA,Southeast,,,Closed
Third Eye Comics,8005 Creighton Parkway B,Mechanicsville,VA,23111,USA,Southeast,info@thirdeyecomics.com,thirdeyecomics.com,Open
Grand Slam Games & Comics,212 W State St,Olean,NY,14760,USA,Northeast,,clumsyorc.com,Open
Comic Cubicle,4809 Courthouse St STE 2,Williamsburg,VA,23188,USA,Southeast,,,Open
Laurel Mountain Comics,258 W Patriot St,Somerset,PA,15501,USA,Northeast,,,Unknown
Amazing Fantasy Comics,209-C Village Ave.,Yorktown,VA,23693,USA,Southeast,,afbooks.com,Open
Atomic Comics Emporium,452 Denbigh Blvd Ste C,Newport News,VA,23608,USA,Southeast,atmcmx@gmail.com,atomiccomicsemporium.com,Open
Nostalgia Plus,1601 Willow Lawn Dr Ste 300-B,Richmond,VA,23230,USA,Southeast,,nostalgiaplus.com,Closed
Velocity Comics,819 W Broad St,Richmond,VA,23220,USA,Southeast,,velocitycomicsrva.com,Open
Stories Comics,5065 Forest Hill Ave,Richmond,VA,23225,USA,Southeast,,storiescomics.com,Closed
Trilogy Comics,700 E. Little Creek Rd.,Norfolk,VA,23518,USA,Southeast,trilogy2@trilogycomics.net,trilogycomics.net,Open
Atlantis Games & Comics,145 E Little Creek Rd,Norfolk,VA,23505,USA,Southeast,ac3@atlantis-comics.com,atlantis-comics.com,Open
Comics & Things,4406 Holland Rd,Virginia Beach,VA,23452,USA,Southeast,,,Unknown
Kaboom,859 S Lynnhaven Rd,Virginia Beach,VA,23452,USA,Southeast,kit@kaboomkollectibles.com,kaboomkollectibles.com,Open
Queen City Bookstore,3184 Main Street,Buffalo,NY,14214,USA,Northeast,enovak3178@aol.com,queencitybook.com,Open
