name,address,city,state,zip_code,country,region,email,website,phone,status
Galaxy Comics & Games,2322 E Matthews Ave,Jonesboro,AR,72401,USA,Southeast,,,870-932-2346,Closed
Kapow Comics,4747 E. Kiehl Ave,Sherwood,AR,72012,USA,Southeast,,,501-834-5769,Closed
Kapow Comics,4047 E. Kiehl Ave,Sherwood,AR,72120,USA,Southeast,thecomicbookguy@kapow-comics.com,kapow-comics.com,501-834-5769,Open
The Comic Book Store,3217 John F. Kennedy Blvd,North Little Rock,AR,72116,USA,Southeast,cbsrock@att.net,thewildstars.com/cbs.html,501-791-4222,Closed
The Comic Book Store,9307 Treasure Hill Rd,Little Rock,AR,72227,USA,Southeast,cbsrock@att.net,thewildstars.com/cbs.html,501-227-9777,Closed
Crash Comics,1201 Kentucky Ave,Paducah,KY,42003,USA,Southeast,bthirston@crashcomics.com,crashcomics.com,270-442-7348,Moved
Comic Gallery,1396 Irvin Cobb Drive,Paducah,KY,42003,USA,Southeast,,,,Closed
Comix Strip,821 Broadway St Unit D,Cape Girardeau,MO,63701,USA,Midwest,,facebook.com/comix.strip,573-335-9908,Moved
Hastings,950 Highway 62 E,Mountain Home,AR,72653,USA,Southeast,,,870-425-6371,Closed
Americana Hollywood Museum,108 W 3rd St,Metropolis,IL,62960,USA,Midwest,,,,Closed
Super Museum and Souvenir,517 Market St,Metropolis,IL,62960,USA,Midwest,supermanmuseum@gmail.com,supermuseum.com,618-524-5518,Open
Campus Comics,1422 Walnut St,Murphysboro,IL,62966,USA,Midwest,,,618-457-6011,Moved
Not Just Comix,339 W Main St,Park Hills,MO,63601,USA,Midwest,,not-just-comix.edan.io,573-431-4587,Open
The Book Exchange,501 E. DeYoung,Marion,IL,62959,USA,Midwest,,,,Unknown
Fantasy Limited,112 W Center St,Madisonville,KY,42431,USA,Southeast,,,270-821-2844,Open
Pop Buzz,502 S Main St,De Soto,MO,63020,USA,Midwest,,,,Closed
Eclipse Books & Comics,814 N Pine St,Rolla,MO,65401,USA,Midwest,comic@fidnet.com,eclipsebookscomics.com,573-364-4301,Open
Card Corner,207 S 2nd St,Festus,MO,63028,USA,Midwest,,,636-933-0999,Open
Main Street Music,108 N Market St,Waterloo,IL,62298,USA,Midwest,mainstrt@htc.net,main-street-music.com,618-939-4676,Open
Vintage Stock,2856 S. Glenstone Ave,Springfield,MO,65804,USA,Midwest,,vintagestock.com,417-882-2283,Open
AnImagination,6372 Delmar Blvd,University City,MO,63130,USA,Midwest,,,314-862-4263,Closed
Comic Headquarters,4352 Telegraph Rd,St Louis,MO,63129,USA,Midwest,,comichqstl.com,314-433-5449,Open
Fantasy Books,1113 E Main St,Belleville,IL,62220,USA,Midwest,,fantasybooksinc.com,618-235-0844,Open
Missouri Comics & Records,4323 W Chestnut Expressway,Springfield,MO,65802,USA,Midwest,,,417-255-3863,Open
Fantasy Shop Comics & Games,10560 Baptist Church Rd,St. Louis,MO,63128,USA,Midwest,fantasyshopinc@gmail.com,fantasyshoponline.com,314-842-8228,Open
Twilight Comics,208 Frank Scott Pkwy E,Swansea,IL,62226,USA,Midwest,info@twilightcomics.com,twilightcomics.com,618-416-2797,Moved
Twilight Games & Comics,208 Frank Scott Pkwy E,Swansea,IL,62226,USA,Midwest,info@twilightcomics.com,twilightcomics.com,618-416-2797,Moved
Vintage Stock,2940 W. Sunset Ave,Springdale,AR,72762,USA,Southeast,,vintagestock.com,479-756-1367,Open
Vintage Stock,2631 N. Kansas Expressway,Springfield,MO,65803,USA,Midwest,sam.walker@vintagestock.com,vintagestock.com,417-866-7227,Open
Vintage Stock,745 E. Joyce Blvd Suite 120,Fayetteville,AR,72703,USA,Southeast,fayetteville@vintagestock.com,vintagestock.com,479-582-5550,Open
