name,address,city,state,zip_code,country,region,email,website,phone,status
Cosmic Comix & Toys,529 S Camp Meade Rd,Linthicum Heights,MD,21090,USA,Southeast,ccx@cosmiccomix.com,cosmiccomix.com,(410) 859-1340,Moved
Alliance Comics,904 Light Street,Baltimore,MD,21230,USA,Southeast,alliancecomicsonline@gmail.com,alliancecomicsonline.com,(410) 685-0021,Closed
Portals Games and Comics,415A Dover Street,Easton,MD,21601,USA,Southeast,matt@portalsshop.com,portalsshop.com,(410) 800-8787,Open
Comics Metropolis,26 S 3rd St,Lewisburg,PA,17837,USA,Northeast,,comicsmetropolis.business.site,(570) 415-2178,Open
Gotham Comics,15 E Main St # B1,Westminster,MD,21157,USA,Southeast,,gotham-comics.com,(410) 848-7447,Open
To Be Continued Comics,2137 Defense Hwy STE 12,Crofton,MD,21114,USA,Southeast,,facebook.com/TBCComicshop,(410) 721-3001,Open
Comics To Astonish,9400 Snowden River Pkwy #112,Columbia,MD,21045,USA,Southeast,comics2u@aol.com,comicstoastonish.com,(410) 381-2732,Open
Shazam! Comics and Toys,4497 Mountain Road,Pasadena,MD,21122,USA,Southeast,,shazamcomicshop.com,(410) 402-0285,Closed
Third Eye Comics,209 Chinquapin Round Rd Suite 200,Annapolis,MD,21401,USA,Southeast,,thirdeyecomics.com,(410) 897-0322,Moved
Isle of Comics,56 W Southern Ave,South Williamsport,PA,17702,USA,Northeast,isleofcomics@hotmail.com,isleofcomics.com,(570) 322-4753,Open
Illusions Games and Comics,726 S Salisbury Blvd,Salisbury,MD,21801,USA,Southeast,thegamestore@hotmail.com,,(410) 742-0172,Open
Phoenix Rising Games and Comics,327B Civic Ave,Salisbury,MD,21804,USA,Southeast,dorsey@phoenixrisinggames.com,facebook.com/phoenixrisinggames,(443) 944-8207,Open
Alliance Comics,6820 Race Track Road,Bowie,MD,20715,USA,Southeast,,,Closed
Kravens Comic Books and Collectibles,2833 Ocean Gateway,Cambridge,MD,21613,USA,Southeast,,kravenscomics.com,(443) 225-6536,Open
Big Planet Comics,7315 Baltimore Ave,College Park,MD,20740,USA,Southeast,bigplanetcollegepark@yahoo.com,,(301) 699-0498,Closed
Alliance Comics,8317 Fenton St,Silver Spring,MD,20910,USA,Southeast,,,(301) 588-2546,Closed
Beyond Comics,18749 North Frederick Ave,Gaithersburg,MD,20879,USA,Southeast,,beyondcomics.com,(301) 216-0007,Moved
Fantom Comics,2010 P St NW 2nd Floor,Washington,DC,20036,USA,Southeast,,fantomcomics.com,(202) 241-6498,Moved
Big Planet Comics,4908 Fairmont Ave,Bethesda,MD,20814,USA,Southeast,bethesda@bigplanetcomics.com,bigplanetcomics.com,(301) 654-6856,Open
Big Monkey Comics,1722-B 14th St NW,Washington,DC,20009,USA,Southeast,,,Closed
Brainstorm Comics & Gaming,117 N Market St,Frederick,MD,21701,USA,Southeast,,brainstormcomics.com,(301) 360-5843,Closed
Beyond Comics,5632 Buckeystown Pike,Frederick,MD,21704,USA,Southeast,beyondcomics@beyondcomics.com,beyondcomics.com,(301) 668-8202,Open
Third Eye Comics,78 Solomons Island Road,Prince Frederick,MD,20678,USA,Southeast,,thirdeyecomics.com,,Open
Fantom Comics,4500 Wisconsin Avenue,Washington,DC,20016,USA,Southeast,,fantomcomics.com,,Closed
Big Planet Comics,1524 U St NW,Washington,DC,20009,USA,Southeast,,bigplanetcomics.com,(202) 842-1961,Moved
Aftertime Comics,1304 King St,Alexandria,VA,22314,USA,Southeast,zzaftertime@aol.com,aftertimecomics.com,(703) 548-5030,Open
Comic & Card Collectorama,2008 Mount Vernon Ave,Alexandria,VA,22301,USA,Southeast,collectram@aol.com,,(703) 548-3466,Closed
Hole in the Wall Books,905 West Broad Street,Falls Church,VA,22046,USA,Southeast,,holeintheweb.com,(703) 536-2511,Closed
Victory Comics,586 S Washington Street,Falls Church,VA,22046,USA,Southeast,victorycomics.fc@gmail.com,victorycomics.com,(703) 241-9393,Open
