name,address,city,state,zip_code,country,region,email,website,phone,status
Shamrock Comics,3057 Tamiami Trail Unit B,Port Charlotte,FL,33952,USA,Southeast,,http://www.shamrockcomics.com,(941) 626-7387,Closed
Cool Comics and Games,231 Del Prado Blvd S #3,Cape Coral,FL,33990,USA,Southeast,coolcomicsgames@gmail.com,https://www.facebook.com/coolcomicsandgames,(239) 573-7468,Open
Hero Trader,13251 McGregor Blvd #106,Fort Myers,FL,33919,USA,Southeast,,http://herotrader.com,(239) 219-6724,Closed
Comics Cards and Stuff,3453-3 Fowler St,Fort Myers,FL,33901,USA,Southeast,comcrdstuf@aol.com,http://www.facebook.com/fortmyerscomics,(239) 939-0878,Closed
Record Trader,3091 Cleveland Ave,Fort Myers,FL,33901,USA,Southeast,recordtrader1@aol.com,https://www.facebook.com/pages/the-record-trader/140925762720605,(239) 337-4330,Open
Past Present & Future Comics,1387 North Military Trail,West Palm Beach,FL,33409,USA,Southeast,ppfcomics1@gmail.com,http://www.ppfcomics.com,(561) 697-2554,Open
Excelsior Comics & Collectable,16 South J Street,Lake Worth,FL,33460,USA,Southeast,,,(718) 974-8277,Closed
Tates Comics + Toys + More,801 N Congress Avenue #604,Boynton Beach,FL,33426,USA,Southeast,emailus@tatescomics.com,http://tatescomics.com,(561) 742-5440,Open
Boca Comics & Cards,20423 State Road 7,Boca Raton,FL,33498,USA,Southeast,,,(561) 654-4180,Unknown
Docking Bay 94,7710 NW 56th Way Suite 100,Pompano Beach,FL,33073,USA,Southeast,comicsandgames@comcast.net,https://comicsandgames.com,(954) 427-1694,Open
Lost Realms Inc,7710 NW 56th Way Suite 100,Pompano Beach,FL,33073,USA,Southeast,comicsandgames@comcast.net,https://comicsandgames.com,(954) 427-1694,Closed
Zaldiva.com Comics,331 E Commercial Blvd,Oakland Park,FL,33334,USA,Southeast,info@zaldiva.com,http://www.zaldiva.com,(954) 938-4133,Closed
Crossroad Comics,4952 N University Dr,Lauderhill,FL,33351,USA,Southeast,,http://crossroadcomics.com,(954) 742-0777,Open
Tates Comics,4566 North University Drive,Lauderhill,FL,33351,USA,Southeast,emailus@tatescomics.com,http://www.tatescomics.com,(954) 748-0181,Open
Past Present & Future Comics,5917 S University Dr,Davie,FL,33328,USA,Southeast,ppfcomicssouth@gmail.com,http://www.ppfcomics.com,(954) 434-4822,Open
War & Pieces,3716 Davie Rd,Davie,FL,33314,USA,Southeast,,,,Unknown
Earth 2 Comics,7619 Pines Boulevard,Pembroke Pines,FL,33024,USA,Southeast,,,(954) 962-3322,Closed
Crazy Eds Comics,1995 NE 147th St,North Miami,FL,33181,USA,Southeast,,http://crazyedscomics.com,(305) 947-6776,Open
Macs Comics & Collectible Inc,2678 SW 87th Ave,Miami,FL,33165,USA,Southeast,macscomics@aol.com,http://www.macscomics.com,(305) 226-5072,Open
A&M Comics and Books,6650 Bird Road,Miami,FL,33155,USA,Southeast,amcomics@gmail.com,http://amcomicbooks.com,(305) 661-3406,Open
Collectors Item,581 Old Hickory Boulevard F,Jackson,TN,38305,USA,Southeast,,,(731) 660-4899,Unknown
Comics Universe,1869 Highway 45 Bypass,Jackson,TN,38305,USA,Southeast,,https://www.facebook.com/ComicsUniverse,(731) 664-9131,Open
Vans Comics & Cards,731 S Pear Orchard Rd Ste 1,Ridgeland,MS,39157,USA,Southeast,vanscomics@gmail.com,http://vansccg.com,(601) 898-9950,Moved
Comics & Collectibles,4730 Poplar Ave #2,Memphis,TN,38117,USA,Southeast,comiccollect@comcast.net,http://memphiscomics.com,(901) 683-7171,Open
Ricks Comic City,1923 Madison St Suite H,Clarksville,TN,37043,USA,Southeast,rickscomiccity@gmail.com,http://rickscomiccity.com,(931) 401-1014,Open
Comic Connection,2128 Fort Campbell Boulevard,Clarksville,TN,37042,USA,Southeast,,,(931) 572-9588,Closed
River Records,822 S Highland Street,Memphis,TN,38111,USA,Southeast,,,(901) 324-1757,Closed
Comic Cellar,3620-2 Austin Peay Hwy,Memphis,TN,38128,USA,Southeast,comiccellar@bellsouth.net,http://www.comiccellaronline.com,(901) 382-8623,Open
Heroes and Dreams,5352 Lakeland Dr Suite 1700,Flowood,MS,39232,USA,Southeast,,http://www.heroesanddreams.com,(601) 992-3100,Closed
Hobby Crossing,2345 Russellville Rd,Bowling Green,KY,42101,USA,Southeast,bowlinggreen@hobbytown.com,https://www.hobbytown.com/bowling-green-ky/l7,(270) 904-6100,Open
