name,address,city,state,zip_code,country,region,email,website,phone,status
Escape Reality Comics,464 Forks Of The River Pkwy,Sevierville,TN,37862,USA,Southeast,ercomicsandgames@gmail.com,instagram.com/escaperealitycomics,(865) 908-8346,Open
Oxford Comics & Games,2855 Piedmont Road NE,Atlanta,GA,30305,USA,Southeast,oxfordcomics@gmail.com,oxfordcomicsandgames.com,(404) 233-8682,Open
Titan Games and Comics,755 Virginia Ave,Hapeville,GA,30354,USA,Southeast,,,Closed
Titan Games & Comics Woodstock,1105 Parkside Lane Suite 1212,Woodstock,GA,30189,USA,Southeast,,,Closed
Great Escape Comics & Games,1050 East Piedmont Road Ste 106,Marietta,GA,30062,USA,Southeast,info@greatescapecomics.com,greatescapecomics.com,(770) 973-2253,Open
Dr. Nos Comics & Games,3372 Canton Rd #104,Marietta,GA,30066,USA,Southeast,,drnos.com,(770) 422-4642,Open
Daves Comics,107 Rainbow Way,Fayetteville,GA,30214,USA,Southeast,davescomics@yahoo.com,Davescomicshop.com,(770) 716-9171,Open
Titan Games & Comics Smyrna,2512 Cobb Pkwy SW,Smyrna,GA,30080,USA,Southeast,titansmyrna@gmail.com,titangamesandcomics.com,(770) 690-3110,Moved
Comic Exchange,3711 Chapman Hwy,Knoxville,TN,37920,USA,Southeast,,comicexchange.com,(865) 573-2280,Open
Tall Man Toys & Comics,609 N. Gay Street,Knoxville,TN,37917,USA,Southeast,,tallmantoys.com,(865) 333-5132,Open
Sci-Fi City,3001 Knoxville Center Dr #1270,Knoxville,TN,37924,USA,Southeast,,sci-fi-city.com,(865) 523-4700,Open
Nirvana Comics Knoxville,6709 Kingston Pike B,Knoxville,TN,37919,USA,Southeast,nirvanacomicsknox@gmail.com,nirvanacomicsknoxville.com,(865) 387-4459,Open
Snake Eyes Comics,9317 Kingston Pike Ste C-0,Knoxville,TN,37922,USA,Southeast,boosttergold@yahoo.com,snakeeyescomics.com,(865) 691-0203,Open
Krypto Comics,6767 Jubilee Center Way Ste 103,Knoxville,TN,37912,USA,Southeast,,newkryptoncomics.com,(865) 938-9528,Open
Clinton Cards Comics & Collectibles,372 Market Pl,Clinton,TN,37716,USA,Southeast,,,(865) 457-5273,Closed
Dicehead Games & Comics,200 Paul Huff Pkwy NW #12,Cleveland,TN,37312,USA,Southeast,,dicehead.com,(423) 473-7125,Moved
Columbus Collectibles,4702 Buena Vista Rd,Columbus,GA,31907,USA,Southeast,,,(706) 563-0930,Open
Comic Hound,6743 Ringgold Rd Ste B,Chattanooga,TN,37412,USA,Southeast,,,(423) 892-8881,Open
Columbus Comics,6440 W Hamilton Park Dr Ste B,Columbus,GA,31909,USA,Southeast,,columbuscomicsga.net,(706) 324-2559,Open
Collectors Paradise Comic Books,510 Broad St,Gadsden,AL,35901,USA,Southeast,,,(256) 549-1979,Open
Epikos Comics Cards & Games,5864 Brainerd Rd,Chattanooga,TN,37411,USA,Southeast,,epikosccg.com,(423) 531-4184,Open
Collectors Corner,700 E Glenn Ave Ste C,Auburn,AL,36830,USA,Southeast,collectorscorner36830@gmail.com,,(334) 821-1772,Open
Infinity Flux,3643 Hixson Pike,Chattanooga,TN,37415,USA,Southeast,info@infinityflux.net,infinityflux.net,(423) 591-5689,Open
The Deep Comics & Games,2205 Mock Rd SW,Huntsville,AL,35801,USA,Southeast,,deepcomics.com,(256) 532-1292,Moved
Bobs Comics,979 Gadsden Hwy,Birmingham,AL,35235,USA,Southeast,,,(205) 833-6914,Open
Legion Comics,3248 Cahaba Heights Rd,Vestavia Hills,AL,35243,USA,Southeast,,facebook.com/Legion-Comics-183024788413142,(205) 970-0999,Open
Excelsior,3150B Lorna Rd,Hoover,AL,35216,USA,Southeast,,,Closed
Kingdom Comics,1425 Montgomery Hwy Ste 119,Vestavia Hills,AL,35216,USA,Southeast,,,(205) 978-0600,Closed
Capitol City Comic Shop,6250 Atlanta Hwy,Montgomery,AL,36117,USA,Southeast,,,(334) 215-3335,Open
Capitol City Comic Shop,177 Eastern Blvd # A,Montgomery,AL,36117,USA,Southeast,,,Duplicate
