name,address,city,state,zip_code,country,region,email,website,phone,status
Bring Your Old Books,8074 21 Mile Rd,Shelby Township,MI,48317,USA,Midwest,,http://bringyouroldbooks.com/,586-731-6473,Open
TJs Cards & Comics,28685 Ryan Rd,Warren,MI,48092,USA,Midwest,,,586-558-7757,Closed
Comics & More,28059 John R Rd,Madison Heights,MI,48071,USA,Midwest,,https://comicsandmoreshow.net/,248-399-3213,Open
Hobbys Inc,56104 National Rd Ste 104,Bridgeport,OH,43912,USA,Midwest,,,740-635-4629,Open
Guild of Blades Retail,775 E 14 Mile Rd,Clawson,MI,48017,USA,Midwest,,http://www.gobretail.com/,248-430-4980,Open
Detroit Comics,23333 Woodward Ave,Ferndale,MI,48220,USA,Midwest,detroitcomics@excite.com,https://thedetroitcomics.wordpress.com/,248-548-2669,Closed
Big Book Store,5911 Cass Ave,Detroit,MI,48202,USA,Midwest,,,313-831-8511,Closed
Leopolds Books,15 E Kirby St Ste 114,Detroit,MI,48202,USA,Midwest,,leopoldsbooks.com,313-875-4677,Closed
Prime Time Comics & Cards,4 N Broadway St,Lake Orion,MI,48362,USA,Midwest,info@primetimecomicsandcards.com,http://www.facebook.com/PrimeTimeComicsAndCards,248-693-1735,Open
New Dimension Comics - Ohio Valley,67800 Mall Ring Rd Ste 875,Saint Clairsville,OH,43950,USA,Midwest,ohiovalley@ndcomics.com,http://ndcomics.com/stores/ohio-valley-mall/,740-695-1020,Open
Big Bens Comix Oasis,6711 Allen Rd,Allen Park,MI,48101,USA,Midwest,,https://www.bigbenscomix.com/,313-382-0700,Moved
Comic City - Bloomfield,2125 S Telegraph Rd Ste D,Bloomfield Township,MI,48302,USA,Midwest,bloomfield@comiccity.com,https://comiccity.com/,248-334-4139,Moved
Comic Explosion,214 E Nepessing St,Lapeer,MI,48446,USA,Midwest,,,810-667-3972,Open
Green Brain Comics,13936 Michigan Ave,Dearborn,MI,48126,USA,Midwest,greenbrain@greenbrain.biz,https://www.greenbraincomics.com/,313-582-9444,Moved
Back To the Past Comics,12670 Inkster Rd,Redford,MI,48239,USA,Midwest,,http://gobacktothepast.com/,313-533-3130,Open
Comics Archives Inc,25650 Plymouth Rd,Redford,MI,48239,USA,Midwest,,comicsarchives.com,313-937-8860,Closed
Wonderworld Comics,22347 Ecorse Rd,Taylor,MI,48180,USA,Midwest,staff@wonderworldcomics.com,http://www.wonderworldcomics.com/,313-292-8697,Open
Motor City Comics,33228 W 12 Mile Rd Pmb 286,Farmington Hills,MI,48334,USA,Midwest,michael.goldman@motorcitycomics.com,http://motorcitycomiccon.com/,248-426-8059,Open
A To Z Cards Comics Coins,32647 Ford Rd,Garden City,MI,48135,USA,Midwest,,http://youratoz.com/,734-425-6780,Open
Back To the Past,20770 Parker St,Farmington Hills,MI,48336,USA,Midwest,,http://gobacktothepast.com/,313-533-3130,Moved
Comic City - Canton,42419 Ford Rd,Canton,MI,48187,USA,Midwest,canton@comiccity.com,https://comiccity.com/,734-981-3561,Open
Amazing Comics & Video,3109 University Ave,Morgantown,WV,26505,USA,Southeast,,,,Unknown
Garys Comics & More,314 High St,Morgantown,WV,26505,USA,Southeast,,,304-296-3100,Closed
Comic City - Novi,43538 W Oaks Dr,Novi,MI,48377,USA,Midwest,,https://comiccity.com/,248-449-7114,Open
The Realm Comics and Games,1500 W 4th St,Ontario,OH,44906,USA,Midwest,,https://therealmmtg.wixsite.com/website/,,Moved
Amazing Book-Store,3718 Richfield Rd,Flint,MI,48506,USA,Midwest,amazingbookstore@comcast.net,http://www.amazebookstore.com/,810-736-3025,Open
Battlestar Comics,G4383 S Saginaw St,Burton,MI,48529,USA,Midwest,jameskruger@yahoo.com,http://www.battlestarcomics.com/,810-341-3331,Open
Rupps Comics,335 N Ohio Ave,Fremont,OH,43420,USA,Midwest,order@ruppsworld.com,http://www.ruppsworld.com/,419-334-4959,Open
Comic Relief,G4050 Fenton Rd,Flint,MI,48507,USA,Midwest,dean@comicrelief2.com,http://www.comicreliefonline.com/,810-238-7221,Open
Comic Paradise Plus,401 Walnut Ave,Fairmont,WV,26554,USA,Southeast,comics@comicparadiseplus.com,http://www.comicparadiseplus.com/,304-366-2228,Open
