name,address,city,state,zip_code,country,region,email,website,phone,status
Time Warp Comics & Games,555A Pompton Ave,Cedar Grove,NJ,07009,USA,Northeast,,timewarpcomics.com,(973) 857-9788,Open
Moon Shadow Cards & Comics,3379 John F Kennedy Blvd,Jersey City,NJ,07307,USA,Northeast,,,(201) 795-7001,Open
Paradox Comics,269 Ridge Rd,North Arlington,NJ,07031,USA,Northeast,paradoxcomicsnj@gmail.com,paradoxcomics.net,(201) 998-1212,Open
Chameleon Comics & Cards,3 Maiden Ln,New York,NY,10038,USA,Northeast,,,(212) 587-3411,Closed
Midtown Comics Downtown,64 Fulton St,New York,NY,10038,USA,Northeast,,midtowncomics.com,(212) 302-8192,Open
The Comic Book Market,28 Washington St,Bloomfield,NJ,07003,USA,Northeast,,,(973) 680-0006,Closed
ComicLink,189 Montague St #915,Brooklyn,NY,11201,USA,Northeast,,comiclink.com,(718) 246-0300,Closed
Rocketship,208 Smith Street,Brooklyn,NY,11201,USA,Northeast,,,(718) 797-1348,Closed
St. Mark's Comics,148 Montague Street,Brooklyn,NY,11201,USA,Northeast,,,(718) 935-0911,Closed
FunnyBooks Comics & Stuff,98 N Beverwyck Rd,Lake Hiawatha,NJ,07034,USA,Northeast,,funnyrama.com,(973) 263-1733,Open
Bulletproof Comics Inc,2178 Nostrand Ave,Brooklyn,NY,11210,USA,Northeast,,bulletproofcomix.com,(718) 434-1800,Open
Bayonne Comic Center,1061 Avenue C,Bayonne,NJ,07002,USA,Northeast,,,(201) 339-8829,Closed
Vector Books,902 Broadway,Bayonne,NJ,07002,USA,Northeast,,,(201) 437-2228,Closed
Commuter Comics,50 W South Orange Ave,South Orange,NJ,07079,USA,Northeast,,,(973) 762-6666,Closed
Pyramid Comics and Cards,24 Main Street,Sparta,NJ,07871,USA,Northeast,sales@pyramidcomics.com,pyramidcomics.com,(973) 729-5343,Open
Fat Moose Comics and Games,53A Parsippany Rd,Whippany,NJ,07981,USA,Northeast,fatmoose97@aol.com,fatmoosecomics.com,(973) 884-4898,Open
Hypno-Tronic Comics,156 Stuyvesant Pl,Staten Island,NY,10301,USA,Northeast,hypnotroniccomics@gmail.com,hypnotroniccomics.com,(718) 720-0001,Open
Comic Book Jones,2220 Forest Ave Ste 8,Staten Island,NY,10303,USA,Northeast,,comicbookjones.com,(718) 448-1234,Closed
Dewey's Comic City,6 Green Village Rd,Madison,NJ,07940,USA,Northeast,DeweysCC@gmail.com,deweyscomiccity.com,(973) 593-0042,Moved
Wild Pig Comics II,14 S Michigan Ave,Kenilworth,NJ,07033,USA,Northeast,wildpig@wildpigcomics.com,wildpigcomics.com,(908) 245-2140,Closed
JHU Comic Books,299B New Dorp Lane,Staten Island,NY,10306,USA,Northeast,,jhu-comic-books.myshopify.com,(718) 351-6299,Open
Krypton Comics,611 Midland Avenue,Staten Island,NY,10306,USA,Northeast,,,(718) 667-7695,Closed
Rogue Comics & Collectibles,105 N Union Ave,Cranford,NJ,07016,USA,Northeast,,roguecomics.com,(908) 276-9069,Open
Classic Comics,1006 St Georges Ave,Rahway,NJ,07065,USA,Northeast,contact@classiccomics.com,classiccomics.com,(732) 396-0555,Closed
A Little Shop of Comics,509 Berckman St,Plainfield,NJ,07062,USA,Northeast,,littleshopofcomics.com,(908) 322-9402,Moved
Sanctuary Comics,24764 State Route 12,Watertown,NY,13601,USA,Northeast,,sanctuarycomics.biz,(315) 779-9636,Open
Play The Game Read The Story,9808 Destiny USA Dr,Syracuse,NY,13209,USA,Northeast,,playthegamereadthestory.com,(315) 424-0120,Open
Comic Cafe,41 Mountain Blvd,Warren,NJ,07059,USA,Northeast,,comiccafe.com,(908) 753-8484,Closed
Jay and Silent Bob's Secret Stash,65 Broad St,Red Bank,NJ,07701,USA,Northeast,,thesecretstashonline.com,(732) 758-0508,Moved
Comic Crypt/Amazing Stories,55 White Rd,Shrewsbury,NJ,07702,USA,Northeast,,,(732) 747-8686,Open
