name,address,city,state,zip_code,country,region,phone,email,website,status
Mansfield Comics and Manga,2000 FM157 Suite 116,Mansfield,TX,76063,USA,Southwest,(682) 422-7267,ben@mansfieldcomics.com,mansfieldcomics.com,Open
MarvelFreaks Gaming Comics & Collectibles,6635 Greensboro Rd,Ridgeway,VA,24148,USA,Southeast,(276) 292-2158,marvelfreaks@yahoo.com,facebook.com/marvelfreaksgaming,Open
Marvelous Issues,1780-4 Queen Anne St,Sunset Beach,NC,28468,USA,South,(910) 575-2522,kathleenlincoln835@yahoo.com,marvelousissues.com,Open
Mass Media Comics,631 Main St,Zanesville,OH,43701,USA,Midwest,(740) 868-8040,massmediacomics@gmail.com,facebook.com/massmediacomics,Open
Massey's Comics,110 W Commercial St,Lebanon,MO,65536,USA,Midwest,(417) 379-9274,masseyscomics@gmail.com,freedomcomicslebanon.square.site,Open
Masta Shredda Comix,1092 10th St,Arcata,CA,95521,USA,West,(707) 845-4953,realmastashreddamusic@gmail.com,https://www.facebook.com/p/Masta_Shredda_Comix-100091629734768/,Open
Matt's Basement,308 N Alpine Rd,Rockford,IL,61107,USA,Midwest,(779) 256-2122,mattsbasementllc@gmail.com,facebook.com/MattsBasementLLC,Open
Matt's Cavalcade of Comics,2075 NW Buchanan Ave,Corvallis,OR,97330,USA,West,(541) 752-6757,sales@ilovespidey.com,ilovespidey.com,Open
Matty's Comics,62 Dike St,Providence,RI,2909,USA,Northeast,(917) 968-7962,,mattyscomics.com,Open
Mav Collectibles,19786 Hwy 105 W Ste 190,Montgomery,TX,77356,USA,Southwest,(936) 449-1277,sales@mavcollectibles.com,instagram.com/mavdamadcollector,Open
Mavericks Baseball Cards & Comics,8522 Winton Rd,Cincinnati,OH,45231,USA,Midwest,(513) 521-4900,,facebook.com/FinneytownMavericks,Open
Maximum Distractions,4405 N Milwaukee Ave,Chicago,IL,60630,USA,Midwest,(773) 454-7140,maximumdistractions@gmail.com,maximumdistractions.com,Open
Maxine's Bargain Box,1030 Mt Vernon Rd,Newark,OH,43055,USA,Midwest,(740) 364-0014,,facebook.com/MaxinesBargainBox,Open
Mayhem Collectibles,2532 Lincoln Way,Ames,IA,50014,USA,Midwest,(515) 292-3510,shopatmayhem@gmail.com,mayhemcomics.com,Open
