name,address,city,state,zip_code,country,region,phone,email,website,status
Nostalgic Comic Shop,513 S Del Mar Ave,San Gabriel,CA,91776,USA,West,(626) 289-2495,nostalgiccomicshop@gmail.com,nostalgiccomicshop.com,Open
Not Just Cardboard,208 W Main St,Leesburg,FL,34748,USA,Southeast,(352) 431-3494,njcb2000@yahoo.com,leesburgcollectibles.com,Open
Not Just Comix,339 W Main St,Park Hills,MO,63601,USA,Midwest,(573) 431-4587,,facebook.com/NotJustComix,Open
Not Just Gamin',211 Trade St,Greer,SC,29651,USA,Southeast,(864) 775-9459,theteam@notjustgamin.com,notjustgamin.com,Open
Nova Gateway Comics and Toys,14007 Noblewood Plz,Dale City,VA,22193,USA,Southeast,(540) 850-1345,sales@gatewaycomicsandtoys.com,novagatewaycomics.com,Open
Now & Then,1531 4th St SW,Mason City,IA,50401,USA,Midwest,(641) 423-3839,nowandthen.masoncity@gmail.com,originalnowandthen.com,Open
Nowhere's Store of Forgotten Lore,1327 S Glenstone Ave,Springfield,MO,65804,USA,Midwest,(417) 771-5897,nowheresstore@gmail.com,nowheresstore.com,Open
O-Dog Comics,8914 Southeastern Ave,Indianapolis,IN,46239,USA,Midwest,(317) 762-4629,odogcomics@yahoo.com,odogcomics.com,Open
OP Comics & Games,1901 Cleveland Ave Ste A/B,Santa Rosa,CA,95401,USA,West,(707) 546-2000,sales@outerplanesgames.com,outerplanesgames.com,Open
Oak Leaf Comics & Collectibles,221 N Federal Ave,Mason City,IA,50401,USA,Midwest,(641) 424-0333,miket@dustcatchers.com,oakleafcomics.com,Open
Odin and Sons: Comics and Collectibles,104 E Broughton St,Savannah,GA,31401,USA,Southeast,(912) 349-1878,,odinandsons.com,Open
Old Major Comics,10780 Pebble Hills Blvd Ste 2B,El Paso,TX,79935,USA,Southwest,(915) 449-0990,oldmajorcomics@gmail.com,https://www.facebook.com/p/Old-Major-Comics-100063649266634/,Open
Old Town Cafe & Comics,31 Cottonwood Dr Ste 106,Williston,VT,5495,USA,Northeast,(802) 839-5382,info@willistoncafeandcomics.com,facebook.com/oldtowncafeandcomics,Open
