name,address,city,state,zip_code,country,region,phone,email,website,status
River City Comics,159 W White Horse Pike,Berlin,NJ,8009,USA,Northeast,(856) 809-1963,rivercitycomics@outlook.com,facebook.com/RiverCityComicsBerlinNJ,Open
River Monster Comics,11223 N Williams Street Unit B,Dunnellon,FL,34432,USA,Southeast,(352) 462-7145,rivermonstercomics@gmail.com,rivermonstercomics.square.site,Open
Robot Zero Comics,23 W Main St,Geneva,OH,44041,USA,Midwest,(440) 415-1228,info@robot-zero.com,robot-zero.com,Open
Rocket Comics,4235 Portage Street,Kalamazoo,MI,49001,USA,Midwest,(269) 775-1101,info@rocketcomicz.com,rocketcomicz.com,Open
Rogue City Comics,32 N Central Ave,Medford,OR,97501,USA,West,(541) 500-1985,roguecitycomics@gmail.com,roguecitycomics.com,Open
Ron's Comic Closet,488 Spring Brook Ln,Mary Esther,FL,32569,USA,Southeast,(850) 533-4611,ron_wilson@ronscomiccloset.com,ronscomiccloset.com,Open
Route 66 Comics & Collectibles,17 S Park St,Sapulpa,OK,74066,USA,Southwest,(918) 568-0171,route66comicsok@gmail.com,route66comics.com,Open
Rubber Mallet Comics,802 Wyoming Ave,West Pittston,PA,18643,USA,Northeast,(570) 655-5522,rubbermalletcomics@gmail.com,rmcomics.com,Open
S&T Collectibles,1707 1st St E,Bradenton,FL,34208,USA,Southeast,(941) 752-5933,,shopsandtcollectibles.com,Open
SCG Hobby,1450 Oakland Ave Ste 1,Indiana,PA,15701,USA,Northeast,(724) 349-1769,indiana@scghobby.com,scghobby.com,Open
